GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1012885,,2020,St Charles Energy Center,5025 Thomas Edison Drive,Waldorf,MD,20602,,MARUBENI AMERICA CORP,375 Lexington Ave,New York,NY,10022,25,221112
1012887,110000323579,2020,"ComStar International, Inc.",20-45 128th Street,College Point,NY,11356,QUEENS COUNTY,COMSTAR INTERNATIONAL INC,20-45 128th Street,College Point,NY,11356,100,423740
1012891,110070209450,2020,Abilene Environmental Landfill,1984 FM 3034,Abilene,TX,79601,JONES COUNTY,ABILENE ENVIRONMENTAL LANDFILL INC,"1150 ESTATES DRIVE, SUITE D",ABILENE,TX,79602,100,562212
1012893,,2020,BlueCrest Alaska - 820 Cook Inlet Basin,28615 Pathfinder Rd,Anchor Point,AK,99556,,BLUECREST ENERGY INC,"1320 South University Drive, Suite 825",Fort Worth,TX,76107,100,211120
1012895,110070209529,2020,Union Carbide Corporation-Institute,,Institute,WV,25112,KANAWHA COUNTY,DOW INC,2030 Dow Center 1790 Building,Midland,MI,48674,100,325199
1012901,110070209437,2020,Panther Gas Plant,,Rankin,TX,79778,UPTON COUNTY,ENERGY TRANSFER LP,8111 Westchester Drive,Dallas,TX,75225,100,211130
1012903,110070209438,2020,La Gloria Ranch Landfill,23485 N. Moorefield Road,Edinburg,TX,78541,HIDALGO COUNTY,REPUBLIC SERVICES INC,18500 N. ALLIED WAY,PHOENIX,AZ,85054,100,562212
1012904,110070209475,2020,Matheson - LIMA III PLANT,1150 S METCALF,Lima,OH,45804,ALLEN COUNTY,MATHESON TRI-GAS INC,"3 Mountainview Road, 3rd Floor",Warren,NJ,7059,100,325120
1012906,,2020,Arrowhead Gas Plant,2387 Hwy 1450,Coyanosa,TX,79730,,ENERGY TRANSFER LP,8111 Westchester Drive,Dallas,TX,75225,100,211130
1012908,110070200793,2020,Ignacio Compressor Station,,Ignacio,CO,81137,LA PLATA COUNTY,CATAMOUNT ENERGY PARTNERS LLC,1801 Broadway #1000,Denver,CO,80202,100,211130
1012909,,2020,"Pinedale Energy Partners Operating, LLC 535 Green River Basin","6100 S. Yale Avenue, Suite 800",Tulsa,OK,74136,,OAK RIDGE NATURAL RESOURCES LLC,"6100 S. Yale Avenue, Suite 800",Tulsa,OK,74136,100,211130
1012910,110070209491,2020,Chamon Power LLC,18511 Beaumont Hwy,Houston,TX,77049,HARRIS COUNTY,PEAKER POWER LLC,910 Louisiana St Suite 2400,Houston,TX,77002,100,221112
1012911,110070209499,2020,"Port Comfort Power, LLC",,Point Comfort,TX,77978,CALHOUN COUNTY,PEAKER POWER LLC,910 Louisiana St Suite 2400,Houston,TX,77002,100,221112
